CIK,Company_Name,Analysis_Date,Form_Type,Passes_All_Filters,ROE_Above_15_For_5_Years,Debt_Equity_Below_8_Percent,Management_Ownership_Above_5_Percent,Consistent_Earnings_Growth,Moat_Score,Market_Share_Score,Patent_Score,Customer_Retention_Score,Pricing_Power_Score,Margin_of_Safety,Bear_Case_Value,Base_Case_Value,Bull_Case_Value,Benfords_Law_Score,CAPEX_vs_Depreciation,True_Owner_Earnings,ROE_5_Year_Avg,Debt_Equity_Ratio,Management_Ownership_Pct,Business_Model_Changes,Financial_Anomalies,Mental_Model_Conflicts,Investment_Grade
0001329842,FEDERAL HOME LOAN BANK OF NEW YORK,2025-05-30,8-K,False,False,False,True,False,7.708903904225018,7.892501808367651,7.211419223383709,7.890977987154168,8.102818164320102,0.0,109.41673824656782,86.55203445804382,143.16333156071232,0.8084741872972319,1.588340360101125,4620187108.20809,19.212815015237666,15.652256707170508,7.413952441590213,0,1,1,D
0001330399,FEDERAL HOME LOAN BANK OF PITTSBURGH,2025-05-30,8-K,False,False,False,True,False,6.873043147653038,7.16548968350844,5.698416230227058,7.57329752030065,7.82662901121415,0.0,39.633803962565544,30.066780450769272,59.68757828292953,0.790791500294425,1.42931450773616,8114794190.806389,15.305425740054993,11.586573181303818,10.164578695536099,0,0,0,D
0001331465,FEDERAL HOME LOAN BANK OF ATLANTA,2025-05-30,8-K,False,False,False,True,False,7.096093286224335,6.835217537326639,7.4760747455166285,7.462243351423142,6.267351773540626,0.0,13.549336066184196,10.682828596705441,17.942266399389833,0.8525520092183739,0.4614198803997469,5006529587.21842,17.310496471781875,45.310565366891375,14.032140864482146,0,0,1,D
0001331754,FEDERAL HOME LOAN BANK OF INDIANAPOLIS,2025-05-30,8-K,False,False,False,False,False,7.012422787007549,6.907568745795907,6.196205188044161,8.859123439534445,6.187090443690488,0.0,25.131758718408964,19.036380386611608,38.0241908617502,0.8457507876580028,2.330413559718522,6110243920.642563,17.425088305443552,9.053260545556805,9.597337101678193,0,1,1,D
0001331757,FEDERAL HOME LOAN BANK OF DALLAS,2025-05-30,8-K,False,False,False,True,False,7.732646833834552,7.232003760212517,7.60363503756446,8.885351434498235,7.816845315805603,0.0,57.53641105026164,44.413497105877276,81.98310527401672,0.9492659624284874,1.849995962731535,7625744191.3605,15.643741844270172,216.4269949041666,9.653534930632127,0,1,1,D
0001334978,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",2025-05-30,8-K,False,False,False,True,False,7.691174437019983,8.62979943565722,6.36543008115313,8.113400422433848,7.0694555392438545,0.0,99.2284212531632,73.03794646884062,163.07567862576346,0.8803177411561759,0.36159410223393057,3952593378.207183,16.379932537395135,14.520842469437877,11.151121260479453,0,2,1,D
0001341766,"CELSIUS HOLDINGS, INC.",2025-05-30,8-K,False,False,False,True,False,7.445400631315212,8.055948620987747,6.276740891788673,8.891017964277484,5.617953225280142,0.0,68.72059889274041,52.62761415156705,100.4739344786258,0.8689027175703032,2.57173619832318,5503641430.358583,19.059750163887117,15.24542503703255,14.833948464885156,0,1,1,D
0001346022,ENERTOPIA CORP.,2025-05-30,8-K,False,False,False,True,False,6.335761051140233,6.388730405386614,5.581205128515896,7.474433198132844,6.110207108042496,0.0,46.77551594244889,35.678317988209876,69.2621851691166,0.7250093809380963,1.2799888739310294,4985334295.580549,15.460398801971992,204.2004692054857,13.596952640380133,0,0,0,D
0001346554,"TENOR CAPITAL MANAGEMENT CO., L.P.",2025-05-30,SCHEDULE 13G,False,False,False,True,False,7.274853863893261,6.776971757642769,6.3880579449214006,8.988621885195457,8.499234003206423,0.0,19.36898544057433,15.156675159683063,26.347108366039986,0.728286301123031,0.34825484616500896,3407469906.3950047,14.703651571934712,72.44176278694229,12.304111382812504,1,1,1,D
0001347123,"EBR SYSTEMS, INC.",2025-05-30,8-K,False,False,False,True,False,8.790473002817127,8.832311128507637,8.854070598965151,9.3750214217897,7.263230873665854,0.0,50.48812877758837,39.394091632131314,69.37254578322077,0.7741935133854947,3.0582481158679933,6530501431.27578,18.929013385312714,26.867772009696704,11.268475977524185,2,1,1,D
