CIK,Company_Name,Analysis_Date,Form_Type,Passes_All_Munger_Filters,ROE_Above_15_For_5_Years,Debt_Equity_Below_8_Percent,Management_Ownership_Above_5_Percent,Consistent_Earnings_Growth,Overall_Moat_Score,Market_Share_Score,Patent_Score,Customer_Retention_Score,Pricing_Power_Score,Margin_of_Safety,Bear_Case_Value,Base_Case_Value,Bull_Case_Value,Benfords_Law_Score,CAPEX_vs_Depreciation,True_Owner_Earnings,ROE_5_Year_Avg,Debt_Equity_Ratio,Management_Ownership_Pct,Business_Model_Changes,Financial_Anomalies,Mental_Model_Conflicts,Investment_Grade
0000320193,APPLE INC,2025-05-30,8-K,False,False,False,True,False,7.099807942725016,8.155040169900104,5.021989182020836,8.269488059565708,6.77297508245581,0.0,676.7330710152311,511.7783588503246,1028.9022042549725,0.8259252516085169,1.1680114120604974,8216703870.817972,13.64939868128954,47.722852312657544,8.865706523509816,0,2,1,D
0000789019,MICROSOFT CORP,2025-05-30,8-K,False,False,False,True,False,8.395049352872672,9.376041101840844,7.674409251072291,8.928391663972949,5.56631804020057,0.0,20.898298234379002,16.234076890663946,29.154560289165612,0.8110631771573629,2.5553874997649495,4418029241.17663,19.424969614805413,51.389197795815,13.541669427720382,0,2,2,D
0001018724,AMAZON COM INC,2025-05-30,8-K,False,False,False,True,False,8.466026529332021,9.337365902242507,8.83866776276668,7.5507806183580115,5.693237159334119,0.0,10.145980568427198,7.501420799313965,16.47083675508995,0.7163628947701942,1.0954227601383546,1646446381.4878995,19.442607317025146,18.75721321495999,10.260759209494559,0,0,1,D
0001652044,ALPHABET INC,2025-05-30,8-K,False,False,False,True,False,8.751450417778281,9.459437450138342,8.086753596019074,9.07426028163082,7.267973025910575,0.0,838.6834460767177,651.1653371268236,1172.0634732355477,0.8456331311752102,0.41874572555470213,10207342501.27046,15.013663030685947,40.20051131973339,7.189068416733479,0,1,1,D
0001318605,TESLA INC,2025-05-30,8-K,False,False,False,True,False,7.4177402654125535,6.606238014290089,8.27791115999328,7.864537956228576,7.189641204528183,0.0,68.7311323099038,53.0705313226353,97.83924945794399,0.7356092836346819,1.606448100456744,6052544003.3185425,16.257277162902344,52.26179389071588,10.917295931277254,0,1,1,D
0001326801,META PLATFORMS INC,2025-05-30,8-K,False,False,False,True,False,7.201201490654449,8.110825977542053,5.4672440412981,7.392780238026571,8.381418396428824,0.0,9.897311494573797,7.473035337975806,15.11969220770285,0.9330892690914385,1.9513136618255584,2523777770.415489,17.99884752824164,18.36012239272971,14.119092885084804,0,0,1,D
0000909832,NVIDIA CORP,2025-05-30,8-K,False,False,False,True,False,8.692996721657902,9.221622480292202,8.43063712438747,9.040479794521222,6.670606333205351,0.0,20.42672052498094,14.532439224614022,36.63438294630309,0.7031877508336316,1.6157206083158384,579870503.3093612,18.241579748012526,72.21044704028768,12.993562393051837,0,0,2,D
0000886982,BERKSHIRE HATHAWAY INC,2025-05-30,8-K,False,False,False,True,False,7.731686548749993,6.7238057440795025,8.325051721049345,8.624647727318399,8.197191893397086,0.0,19.932973831387198,14.330039075898108,34.841606717490244,0.8529113687064216,0.5910836108077376,2373290518.624866,17.030894012180717,54.297773369412106,10.259129489404545,0,0,1,D
0000200406,JOHNSON & JOHNSON,2025-05-30,8-K,False,False,False,True,False,7.5091344008888194,6.1706733388421044,8.466635580894888,9.21484017885511,6.5790635531248824,0.0,151.66734301133368,106.13567078778279,282.7765553184451,0.7165396686128597,0.6973915131640549,1189430437.4144776,17.312377165159898,25.92682640654856,14.472277165635028,0,1,1,D
0000078003,EXXON MOBIL CORP,2025-05-30,8-K,False,False,False,True,False,7.190295411734825,7.5736648569295575,6.321559239116063,8.28373747451882,6.076142023244187,0.0,34.635714077555114,27.07431654810813,47.29029605535152,0.7344223859878729,6.061387434302832,5420419804.33083,16.754938537451032,29.01122953560299,4.161909155478917,0,1,1,D
0000019617,JPMORGAN CHASE & CO,2025-05-30,8-K,False,False,False,True,False,8.967199675662595,9.306946647512593,8.57862479276314,9.116481844400878,8.475372099484396,0.0,19.53575773249622,14.15530001066456,33.471908504339396,0.9139772774267021,1.7527506710549234,1695554288.1658137,17.68033243482427,15.470003691422306,12.958426153103888,0,1,1,D
0000021344,PROCTER & GAMBLE CO/THE,2025-05-30,8-K,False,False,False,True,False,8.608829591646614,8.851870283599618,8.174421752016368,9.23429278745355,7.688963951111466,0.0,18.43923220040468,13.963999813143557,27.916958550956423,0.7387619364522946,0.7040292851725103,5078186779.088007,18.45623039083929,8.230665108323313,14.50601917988143,0,2,1,D
0000732712,UNITEDHEALTH GROUP INC,2025-05-30,8-K,False,False,False,True,False,8.086472534710406,9.301168534895922,6.653182792635824,7.625926698175851,8.448649433261192,0.0,41.86122933730642,30.790476976559273,68.92944024369864,0.7392645649924415,1.528635489778947,3446783137.221531,16.227756161686994,75.7520497030915,9.917203235997688,0,1,2,D
0000040545,VISA INC,2025-05-30,8-K,False,False,False,False,False,7.089908138134456,7.364012160563765,6.290520096648075,7.937730243326245,6.696011962492777,0.0,13.81047276610047,10.173862672104944,22.644578337693947,0.7714888834007189,4.771644692034617,1212137097.1380339,16.38727903429862,181.37463548096525,8.153198116532783,0,1,1,D
0000858877,WALMART INC,2025-05-30,8-K,False,False,False,True,False,7.097354727753333,7.5312671103051,6.599945617654969,7.63960945187414,5.769423079599745,0.0,31.38973679587316,24.60037964120042,42.47196130659717,0.7427192497095736,1.706749270560248,6904404434.504246,15.371308403899686,34.82684779873082,11.527899770419952,0,1,1,D
